miRNA 1B 2B 3B 4B 5B 6B 7B 8B 9B 10B 11B 12B 13B 14B 15B 16B 17B 18B 19B 20B 21B 22B 23B 24B 25B 26B 27B 28B 29B 30B 31B 32B 33B 34B 35B 36B 37B 38B 39B 40B 41B 42B 43B 44B 45B 46B 47B 48B 49B 50B 51B 52B 53B 54B 55B 56B 57B 58B 59B 60B 61B 62B 63B 64B 65B 66B 67B 68B 69B 70B
hsa-miR-22-3p 650.00 154.00 228.00 271.00 250.00 299.00 432.00 340.00 216.00 198.00 204.00 137.00 528.00 214.00 87.00 278.00 242.00 140.00 75.00 72.00 31.00 77.00 35.00 175.00 87.00 218.00 101.00 39.00 112.00 191.00 524.00 308.00 245.00 323.00 723.00 293.00 479.00 1206.00 306.00 712.00 532.00 184.00 82.00 431.00 282.00 466.00 360.00 152.00 159.00 191.00 235.00 272.00 88.00 412.00 193.00 313.00 252.00 211.00 220.00 114.00 200.00 177.00 251.00 75.00 173.00 404.00 376.00 41.00 50.00 54.00
hsa-miR-570-5p 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 4 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 10 0 0 0 0 0
hsa-miR-411-5p 1030.00 327.00 364.00 678.00 286.00 287.00 142.00 242.00 726.00 190.00 591.00 305.00 231.00 76.00 124.00 883.00 207.00 111.00 32.00 133.00 63.00 92.00 35.00 175.00 36.00 334.00 78.00 111.00 207.00 162.00 38.00 128.00 635.00 32.00 199.00 145.00 1185.00 166.00 415.00 738.00 663.00 50.00 205.00 1526.00 358.00 588.00 729.00 95.00 395.00 697.00 817.00 329.00 114.00 117.00 116.00 18.00 128.00 111.00 104.00 66.00 305.00 302.00 85.00 67.00 2108.00 1005.00 406.00 615.00 1123.00 106.00
hsa-miR-1288-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-891b 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6884-3p 1.00 0.00 0.00 1.00 0.00 1.00 0.00 3.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 3.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00
hsa-miR-3606-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3147 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1247-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5700 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4653-3p 0.00 1.00 2.00 1.00 0.00 2.00 4.00 2.00 4.00 3.00 2.00 0.00 2.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 1.00 1.00 3.00 0.00 8.00 0.00 2.00 0.00 4.00 0.00 0.00 0.00 2.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 7.00 0.00 1.00 1.00 1.00 0.00 14.00 0.00 23.00 0.00 27.00 0.00
hsa-miR-1252-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5090 3.00 0.00 2.00 2.00 2.00 4.00 9.00 3.00 4.00 1.00 0.00 0.00 8.00 1.00 1.00 4.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 1.00 5.00 0.00 0.00 0.00 2.00 5.00 0.00 1.00 8.00 1.00 9.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 2.00 2.00 2.00 0.00 8.00 0.00 1.00 0.00 1.00 0.00 2.00 2.00 1.00 4.00 0.00 5.00 6.00 0.00 0.00 0.00 44.00
hsa-miR-365a-3p 218 32 150 186 1372 180 184 282 288 186 470 78 176 62 40 176 66 28 24 18 18 56 82 46 184 114 110 10 14 146 54 244 66 74 120 68 446 120 248 436 236 8 84 146 92 130 112 42 48 70 78 40 20 82 58 60 116 306 54 26 104 56 174 62 134 298 32 40 0 0
hsa-miR-7154-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3179 40 0 4 12 0 12 64 16 36 8 0 0 36 8 0 24 0 8 0 0 0 0 0 4 0 4 0 0 0 0 12 12 0 36 20 24 16 28 4 4 8 0 4 16 8 0 0 0 0 4 4 12 0 20 0 0 4 4 0 8 20 0 28 0 0 0 0 0 0 0
hsa-miR-6792-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-744-3p 26.00 0.00 27.00 30.00 18.00 17.00 11.00 8.00 19.00 18.00 15.00 1.00 12.00 1.00 2.00 13.00 5.00 4.00 0.00 1.00 0.00 2.00 0.00 0.00 4.00 7.00 2.00 0.00 2.00 8.00 0.00 9.00 12.00 0.00 6.00 5.00 41.00 6.00 13.00 43.00 26.00 0.00 0.00 29.00 14.00 8.00 27.00 5.00 3.00 6.00 15.00 1.00 3.00 2.00 6.00 2.00 2.00 3.00 0.00 4.00 4.00 0.00 2.00 0.00 23.00 13.00 26.00 0.00 0.00 0.00
hsa-miR-3152-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-138-2-3p 1.00 4.00 1.00 1.00 1.00 1.00 0.00 0.00 3.00 6.00 3.00 0.00 0.00 0.00 0.00 3.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 1.00 0.00 2.00 1.00 0.00 1.00 1.00 0.00 1.00 1.00 0.00 2.00 0.00 5.00 1.00 0.00 3.00 7.00 1.00 2.00 0.00 0.00 0.00 2.00 6.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8084 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5707 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8081 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-502-3p 1075.00 112.00 341.00 428.00 487.00 595.00 616.00 927.00 442.00 319.00 330.00 123.00 1014.00 298.00 106.00 544.00 346.00 59.00 46.00 82.00 26.00 66.00 59.00 156.00 219.00 293.00 83.00 36.00 59.00 186.00 972.00 704.00 160.00 509.00 835.00 401.00 676.00 1747.00 271.00 565.00 494.00 95.00 48.00 417.00 203.00 350.00 393.00 178.00 125.00 290.00 277.00 198.00 111.00 758.00 232.00 257.00 184.00 247.00 116.00 57.00 411.00 155.00 643.00 182.00 140.00 515.00 571.00 131.00 36.00 34.00
hsa-miR-3937 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-509-3-5p 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3064-5p 49.00 15.00 52.00 78.00 37.00 22.00 36.00 56.00 51.00 64.00 62.00 21.00 23.00 25.00 26.00 45.00 24.00 21.00 2.00 6.00 4.00 10.00 3.00 33.00 35.00 46.00 10.00 4.00 8.00 26.00 9.00 13.00 13.00 15.00 32.00 33.00 45.00 9.00 44.00 48.00 68.00 12.00 22.00 67.00 30.00 78.00 36.00 24.00 20.00 43.00 39.00 34.00 6.00 17.00 30.00 27.00 22.00 19.00 14.00 3.00 24.00 30.00 15.00 15.00 239.00 55.00 213.00 150.00 202.00 0.00
hsa-miR-889-5p 1.00 0.00 0.00 5.00 0.00 1.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 2.00 0.00 2.00 0.00 1.00 2.00 0.00 0.00 3.00 1.00 3.00 5.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6745 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3918 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4755-5p 14.00 1.00 3.00 3.00 10.00 1.00 2.00 8.00 11.00 10.00 2.00 5.00 5.00 2.00 1.00 4.00 0.00 0.00 4.00 0.00 2.00 5.00 0.00 4.00 6.00 4.00 7.00 2.00 1.00 1.00 3.00 2.00 0.00 4.00 7.00 3.00 5.00 9.00 6.00 0.00 6.00 0.00 5.00 7.00 5.00 4.00 3.00 4.00 3.00 1.00 5.00 3.00 3.00 8.00 4.00 5.00 3.00 3.00 0.00 0.00 5.00 2.00 1.00 0.00 0.00 9.00 20.00 35.00 27.00 0.00
hsa-miR-500b-5p 224 58 2 144 14 218 236 252 120 36 46 12 364 150 4 148 22 20 4 6 0 0 0 6 8 10 10 0 14 36 166 208 56 174 290 142 74 140 10 80 78 8 8 54 48 30 56 16 14 32 48 48 6 218 36 20 22 16 16 20 100 22 238 10 28 150 26 0 0 0
hsa-miR-3619-3p 3.00 0.00 0.00 0.00 1.00 4.00 0.00 5.00 0.00 0.00 2.00 2.00 5.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 6.00 0.00 0.00 1.00 4.00 0.00 1.00 1.00 1.00 1.00 0.00 5.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-192-3p 35.00 2.00 0.00 13.00 9.00 16.00 22.00 38.00 8.00 4.00 4.00 0.00 76.00 4.00 0.00 9.00 1.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 1.00 10.00 9.00 9.00 4.00 14.00 15.00 8.00 10.00 2.00 12.00 1.00 3.00 0.00 7.00 4.00 5.00 12.00 1.00 0.00 3.00 5.00 1.00 1.00 8.00 1.00 2.00 5.00 1.00 1.00 2.00 9.00 1.00 12.00 0.00 5.00 13.00 6.00 0.00 0.00 0.00
hsa-miR-4296 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-873-5p 36.00 21.00 96.00 75.00 63.00 38.00 195.00 21.00 59.00 40.00 28.00 2.00 32.00 20.00 1.00 86.00 31.00 17.00 21.00 50.00 4.00 4.00 2.00 19.00 12.00 30.00 34.00 14.00 3.00 123.00 0.00 21.00 26.00 8.00 35.00 7.00 37.00 4.00 17.00 53.00 32.00 20.00 32.00 27.00 39.00 38.00 139.00 4.00 8.00 17.00 24.00 8.00 5.00 0.00 42.00 71.00 30.00 47.00 5.00 7.00 89.00 57.00 22.00 1.00 124.00 69.00 199.00 31.00 116.00 0.00
hsa-miR-517a-3p 0 4 0 2 10 14 2 0 0 34 2 0 0 0 0 0 2 2 0 0 0 2 0 0 0 0 4 0 0 8 0 2 0 8 2 0 4 2 0 2 0 0 2 0 2 0 0 0 0 4 0 0 0 4 6 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1233-5p 8 0 0 12 4 2 0 2 8 10 10 8 2 2 2 2 8 6 0 10 0 0 8 12 2 4 2 0 2 2 0 0 4 0 4 0 6 0 18 2 4 8 4 8 6 8 0 8 0 6 6 4 0 0 4 0 0 4 0 2 2 0 0 0 0 0 0 0 0 0
hsa-miR-1266-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2114-5p 11.00 2.00 20.00 8.00 6.00 8.00 5.00 8.00 7.00 5.00 4.00 0.00 5.00 3.00 1.00 5.00 2.00 2.00 1.00 0.00 0.00 0.00 2.00 2.00 1.00 3.00 0.00 0.00 1.00 2.00 1.00 1.00 0.00 0.00 2.00 0.00 15.00 13.00 1.00 8.00 6.00 0.00 0.00 0.00 1.00 1.00 7.00 0.00 0.00 2.00 3.00 4.00 0.00 1.00 2.00 3.00 1.00 0.00 2.00 2.00 2.00 3.00 4.00 1.00 4.00 6.00 31.00 0.00 0.00 0.00
hsa-miR-222-5p 20.00 0.00 4.00 10.00 4.00 10.00 0.00 5.00 8.00 3.00 3.00 0.00 3.00 5.00 0.00 8.00 7.00 0.00 3.00 0.00 1.00 2.00 0.00 3.00 5.00 0.00 2.00 0.00 2.00 2.00 2.00 10.00 4.00 0.00 6.00 4.00 5.00 2.00 4.00 9.00 10.00 8.00 1.00 10.00 0.00 5.00 5.00 1.00 0.00 6.00 4.00 5.00 0.00 0.00 0.00 3.00 3.00 2.00 5.00 0.00 1.00 2.00 2.00 0.00 21.00 3.00 0.00 0.00 0.00 0.00
hsa-miR-542-3p 167.00 52.00 220.00 50.00 232.00 40.00 9.00 14.00 22.00 38.00 182.00 14.00 41.00 26.00 77.00 17.00 88.00 196.00 112.00 45.00 83.00 56.00 31.00 29.00 86.00 60.00 37.00 35.00 55.00 54.00 13.00 11.00 66.00 8.00 42.00 8.00 221.00 14.00 76.00 53.00 110.00 71.00 31.00 103.00 168.00 58.00 87.00 22.00 125.00 60.00 41.00 34.00 11.00 33.00 52.00 51.00 80.00 96.00 23.00 17.00 60.00 44.00 22.00 37.00 182.00 59.00 97.00 57.00 0.00 52.00
hsa-miR-4768-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-589-5p 844.00 156.00 645.00 930.00 875.00 499.00 615.00 928.00 654.00 622.00 766.00 153.00 741.00 270.00 148.00 651.00 339.00 118.00 46.00 151.00 32.00 73.00 60.00 290.00 253.00 363.00 113.00 34.00 104.00 362.00 392.00 316.00 241.00 267.00 596.00 338.00 899.00 1081.00 441.00 836.00 857.00 126.00 151.00 773.00 341.00 585.00 379.00 202.00 163.00 375.00 342.00 311.00 95.00 486.00 388.00 350.00 253.00 276.00 114.00 72.00 392.00 261.00 633.00 197.00 1310.00 1760.00 1333.00 845.00 579.00 170.00
hsa-miR-12116 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-16-1-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-624-3p 5.00 1.00 0.00 4.00 0.00 0.00 0.00 5.00 3.00 1.00 5.00 0.00 8.00 3.00 0.00 0.00 3.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 3.00 0.00 5.00 0.00 0.00 3.00 4.00 1.00 1.00 3.00 1.00 5.00 0.00 1.00 0.00 0.00 4.00 1.00 1.00 0.00 3.00 4.00 4.00 2.00 0.00 7.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548o-3p 26 8 34 4 8 6 4 4 4 4 18 8 20 10 4 8 6 6 0 0 6 0 0 2 6 2 0 0 0 0 6 16 6 12 22 2 16 22 10 20 16 10 10 12 24 0 28 4 6 16 10 4 4 6 0 6 2 2 0 8 10 2 14 0 40 20 48 0 0 0
hsa-miR-517b-3p 0 4 0 2 10 14 2 0 0 34 2 0 0 0 0 0 2 2 0 0 0 2 0 0 0 0 4 0 0 8 0 2 0 8 2 0 4 2 0 2 0 0 2 0 2 0 0 0 0 4 0 0 0 4 6 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-181c-3p 604.00 111.00 681.00 466.00 367.00 231.00 142.00 315.00 278.00 574.00 543.00 88.00 194.00 184.00 151.00 493.00 487.00 149.00 53.00 117.00 32.00 60.00 17.00 206.00 266.00 311.00 55.00 23.00 83.00 237.00 50.00 190.00 251.00 10.00 225.00 100.00 1233.00 67.00 533.00 1236.00 1361.00 160.00 75.00 958.00 589.00 690.00 586.00 154.00 289.00 642.00 508.00 544.00 60.00 60.00 295.00 219.00 150.00 234.00 119.00 46.00 239.00 270.00 49.00 24.00 611.00 213.00 490.00 141.00 240.00 1.00
