miRNA 1A 2A 3A 4A 5A 6A 7A 8A 9A 10A 11A 12A 13A 14A 15A 16A 17A 18A 19A 20A 21A 22A 23A 24A 25A 26A 27A 28A 29A 30A 31A 32A 33A 34A 35A 36A 37A 38A 39A 40A 41A 42A 43A 44A 45A 46A 47A 48A 49A 50A 51A 52A 53A 54A 55A 56A 57A 58A 59A 60A 61A 62A 63A 64A 65A 66A 67A 68A 69A 70A
hsa-miR-2681-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-23b-3p 3505.00 455.00 578.00 6778.00 5546.00 7882.00 1136.00 4317.00 4593.00 3893.00 8030.00 3141.00 4670.00 2713.00 4060.00 6877.00 1057.00 2571.00 1182.00 3029.00 656.00 1364.00 1341.00 3667.00 1241.00 2444.00 1313.00 1730.00 2351.00 2934.00 1090.00 5172.00 5670.00 4985.00 6056.00 13579.00 3624.00 4622.00 3378.00 5065.00 5892.00 10240.00 8245.00 3154.00 8878.00 3453.00 5388.00 2341.00 893.00 3996.00 2598.00 2072.00 732.00 1683.00 2432.00 4591.00 3903.00 2804.00 864.00 736.00 1601.00 2936.00 7977.00 1395.00 2537.00 1090.00 1825.00 3290.00 2255.00 1208.00
hsa-miR-3613-5p 135.00 93.00 648.00 330.00 366.00 1668.00 107.00 96.00 116.00 178.00 228.00 4186.00 2940.00 526.00 114.00 645.00 66.00 240.00 121.00 156.00 262.00 156.00 161.00 180.00 53.00 87.00 74.00 71.00 201.00 122.00 306.00 626.00 144.00 1132.00 3344.00 3861.00 1816.00 671.00 715.00 2464.00 221.00 216.00 143.00 78.00 802.00 234.00 129.00 779.00 324.00 224.00 183.00 145.00 49.00 105.00 128.00 457.00 283.00 135.00 99.00 74.00 326.00 519.00 1108.00 133.00 350.00 23.00 250.00 121.00 86.00 90.00
hsa-miR-3614-5p 4.00 0.00 3.00 10.00 30.00 29.00 5.00 9.00 5.00 27.00 15.00 8.00 5.00 5.00 10.00 4.00 8.00 23.00 11.00 14.00 8.00 21.00 15.00 6.00 9.00 23.00 6.00 4.00 10.00 5.00 1.00 3.00 1.00 5.00 10.00 11.00 7.00 2.00 4.00 6.00 7.00 1.00 11.00 14.00 14.00 8.00 7.00 2.00 0.00 5.00 7.00 0.00 6.00 14.00 17.00 45.00 10.00 8.00 0.00 0.00 5.00 5.00 5.00 3.00 4.00 0.00 25.00 45.00 34.00 71.00
hsa-miR-10394-3p 1.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 2.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 16.00 0.00 0.00
hsa-miR-6779-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-718 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4718 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-98-3p 9.00 5.00 2.00 49.00 99.00 231.00 4.00 19.00 33.00 42.00 70.00 38.00 70.00 34.00 41.00 29.00 2.00 20.00 6.00 13.00 18.00 4.00 5.00 59.00 7.00 15.00 13.00 7.00 26.00 20.00 2.00 34.00 74.00 28.00 60.00 102.00 9.00 27.00 15.00 13.00 19.00 74.00 57.00 17.00 98.00 15.00 18.00 17.00 5.00 26.00 32.00 14.00 12.00 8.00 12.00 81.00 22.00 9.00 5.00 0.00 5.00 13.00 20.00 15.00 56.00 23.00 0.00 42.00 0.00 0.00
hsa-miR-325 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6795-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5195-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6501-5p 2.00 0.00 4.00 2.00 8.00 1.00 0.00 8.00 4.00 3.00 1.00 14.00 10.00 3.00 5.00 15.00 1.00 1.00 1.00 2.00 0.00 4.00 3.00 3.00 4.00 4.00 1.00 1.00 6.00 3.00 3.00 11.00 0.00 8.00 15.00 15.00 20.00 9.00 25.00 9.00 14.00 3.00 8.00 0.00 2.00 3.00 4.00 7.00 3.00 2.00 0.00 1.00 0.00 0.00 9.00 7.00 7.00 4.00 1.00 1.00 1.00 11.00 7.00 4.00 4.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4520-5p 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4774-3p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4323 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4750-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4665-5p 19.00 0.00 0.00 37.00 33.00 20.00 1.00 14.00 12.00 15.00 37.00 7.00 11.00 8.00 34.00 18.00 9.00 17.00 6.00 14.00 2.00 10.00 5.00 19.00 8.00 18.00 2.00 12.00 18.00 9.00 4.00 12.00 8.00 6.00 26.00 10.00 6.00 1.00 11.00 13.00 28.00 46.00 15.00 24.00 6.00 4.00 10.00 7.00 5.00 13.00 15.00 15.00 1.00 10.00 22.00 9.00 7.00 17.00 1.00 3.00 5.00 10.00 4.00 3.00 12.00 60.00 91.00 26.00 53.00 0.00
hsa-miR-302a-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6790-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-148b-5p 38.00 35.00 111.00 70.00 144.00 386.00 5.00 42.00 100.00 111.00 140.00 433.00 453.00 135.00 72.00 251.00 42.00 109.00 31.00 50.00 35.00 25.00 32.00 153.00 44.00 67.00 34.00 36.00 120.00 61.00 95.00 177.00 181.00 216.00 264.00 459.00 257.00 145.00 258.00 168.00 95.00 276.00 150.00 108.00 413.00 93.00 119.00 363.00 43.00 127.00 126.00 97.00 31.00 53.00 78.00 210.00 142.00 96.00 17.00 19.00 151.00 206.00 300.00 83.00 155.00 19.00 44.00 71.00 34.00 0.00
hsa-miR-3129-5p 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 21.00 0.00 0.00
hsa-miR-4299 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3972 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1843 462.00 64.00 80.00 1297.00 1431.00 1185.00 91.00 423.00 522.00 547.00 770.00 374.00 739.00 505.00 594.00 1093.00 144.00 550.00 143.00 428.00 110.00 160.00 95.00 706.00 99.00 337.00 102.00 132.00 418.00 463.00 105.00 702.00 213.00 501.00 602.00 728.00 436.00 331.00 370.00 455.00 543.00 950.00 1036.00 250.00 912.00 438.00 274.00 413.00 77.00 408.00 350.00 344.00 57.00 175.00 401.00 691.00 591.00 468.00 62.00 54.00 252.00 655.00 396.00 177.00 728.00 126.00 1417.00 1386.00 606.00 610.00
hsa-miR-5197-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1343-5p 0.00 0.00 0.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 3.00 2.00 0.00 4.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3960 86.00 22.00 62.00 33.00 20.00 42.00 21.00 52.00 42.00 37.00 6.00 57.00 38.00 17.00 56.00 41.00 9.00 9.00 18.00 17.00 0.00 17.00 46.00 6.00 11.00 40.00 23.00 44.00 13.00 11.00 151.00 86.00 32.00 48.00 31.00 45.00 92.00 84.00 66.00 65.00 23.00 12.00 1.00 21.00 13.00 112.00 13.00 14.00 16.00 63.00 10.00 7.00 3.00 16.00 4.00 26.00 10.00 16.00 8.00 7.00 29.00 59.00 73.00 20.00 50.00 77.00 35.00 13.00 1.00 0.00
hsa-miR-4303 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3132 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-31-5p 69.00 0.00 9.00 43.00 20.00 36.00 19.00 4.00 9.00 35.00 12.00 31.00 92.00 21.00 45.00 67.00 66.00 9.00 1.00 5.00 1.00 7.00 3.00 14.00 2.00 5.00 145.00 9.00 11.00 19.00 3.00 57.00 9.00 27.00 49.00 317.00 21.00 35.00 28.00 8.00 16.00 7.00 8.00 2.00 77.00 33.00 12.00 20.00 5.00 37.00 5.00 20.00 3.00 4.00 19.00 29.00 24.00 25.00 2.00 10.00 30.00 42.00 17.00 8.00 17.00 19.00 0.00 0.00 21.00 0.00
hsa-miR-541-3p 1.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 2.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 15.00 0.00 0.00 0.00
hsa-miR-518f-3p 0.00 0.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 4.00 0.00 0.00 0.00 0.00 1.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6825-3p 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 33.00
hsa-miR-126-5p 13927.00 7891.00 6124.00 28213.00 39390.00 110250.00 2421.00 13042.00 20500.00 17455.00 31735.00 26859.00 41525.00 32575.00 22158.00 30087.00 7229.00 24235.00 9261.00 10640.00 9404.00 7638.00 5364.00 41905.00 5501.00 14554.00 7368.00 9985.00 28439.00 21165.00 3288.00 21664.00 34854.00 26966.00 40165.00 75613.00 8148.00 17901.00 16209.00 9038.00 16723.00 83190.00 44065.00 20662.00 97547.00 25034.00 21893.00 17540.00 5533.00 36222.00 28206.00 25795.00 4118.00 9845.00 19479.00 47456.00 30591.00 15858.00 5907.00 4105.00 12103.00 22509.00 13052.00 20665.00 72934.00 18149.00 69863.00 149712.00 64979.00 56992.00
hsa-miR-6770-3p 15 0 0 36 9 15 0 3 6 0 3 0 3 3 21 3 3 12 0 3 0 3 0 3 6 6 3 0 9 9 0 3 15 0 6 15 3 3 0 9 9 21 12 0 36 27 18 9 0 15 3 3 0 0 0 9 12 9 0 0 0 15 0 0 18 0 0 0 0 0
hsa-miR-488-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4420 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1258 0.00 0.00 0.00 6.00 0.00 8.00 0.00 0.00 7.00 0.00 0.00 0.00 1.00 0.00 6.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3138 177.00 6.00 13.00 339.00 450.00 285.00 43.00 187.00 207.00 273.00 283.00 67.00 98.00 92.00 365.00 246.00 63.00 212.00 79.00 185.00 35.00 71.00 62.00 173.00 75.00 190.00 49.00 70.00 115.00 137.00 31.00 186.00 146.00 76.00 137.00 79.00 68.00 85.00 92.00 71.00 198.00 286.00 192.00 132.00 205.00 108.00 133.00 81.00 17.00 98.00 151.00 118.00 23.00 97.00 121.00 150.00 131.00 119.00 17.00 20.00 76.00 78.00 28.00 68.00 311.00 175.00 783.00 966.00 568.00 489.00
hsa-miR-4662b 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6881-3p 0.00 0.00 4.00 0.00 1.00 1.00 2.00 0.00 1.00 0.00 0.00 1.00 5.00 0.00 0.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 2.00 3.00 0.00 0.00 5.00 0.00 0.00 7.00 4.00 3.00 0.00 0.00 1.00 3.00 0.00 7.00 1.00 2.00 1.00 0.00 1.00 2.00 3.00 0.00 3.00 1.00 0.00 1.00 0.00 1.00 0.00 0.00 2.00 0.00 1.00 2.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6775-3p 5.00 0.00 1.00 1.00 1.00 1.00 2.00 4.00 1.00 1.00 3.00 5.00 0.00 0.00 5.00 4.00 2.00 1.00 1.00 7.00 0.00 0.00 0.00 1.00 9.00 4.00 4.00 3.00 2.00 4.00 4.00 6.00 1.00 5.00 0.00 3.00 1.00 0.00 1.00 0.00 5.00 13.00 6.00 3.00 0.00 5.00 1.00 0.00 7.00 2.00 0.00 2.00 0.00 3.00 1.00 0.00 2.00 2.00 0.00 0.00 0.00 1.00 1.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6864-5p 0.00 0.00 1.00 0.00 0.00 2.00 0.00 2.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 2.00 1.00 0.00 0.00 1.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6721-5p 24.00 0.00 22.00 71.00 110.00 54.00 22.00 89.00 70.00 68.00 144.00 22.00 46.00 8.00 95.00 65.00 32.00 71.00 38.00 107.00 8.00 11.00 16.00 48.00 46.00 41.00 11.00 27.00 41.00 28.00 33.00 26.00 54.00 42.00 22.00 24.00 16.00 14.00 40.00 32.00 86.00 78.00 28.00 93.00 54.00 17.00 28.00 21.00 7.00 18.00 60.00 35.00 7.00 29.00 33.00 29.00 27.00 49.00 28.00 11.00 30.00 16.00 3.00 17.00 38.00 74.00 155.00 74.00 68.00 116.00
hsa-miR-6782-3p 0.00 0.00 0.00 0.00 3.00 0.00 3.00 0.00 0.00 3.00 0.00 2.00 1.00 1.00 1.00 3.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 0.00 2.00 0.00 0.00 2.00 2.00 0.00 2.00 2.00 0.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-7106-5p 0.00 0.00 0.00 0.00 4.00 0.00 1.00 3.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 1.00 0.00 0.00 12.00 0.00 0.00 0.00 0.00 0.00
