miRNA 31A 31B 32A 32B 33A 33B 34A 34B 35A 35B 36A 36B 37A 37B 38A 38B 39A 39B 40A 40B 41A 41B 42A 42B 43A 43B 44A 44B 45A 45B 46A 46B 47A 47B 48A 48B 49A 49B 50A 50B 51A 51B 52A 52B 53A 53B 54A 54B 55A 55B 56A 56B 57A 57B 58A 58B 59A 59B 60A 60B 61A 61B 62A 62B 63A 63B 64A 64B 65A 65B 66A 66B 67A 67B 68A 68B 69A 69B 70A 70B
hsa-miR-876-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5191 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4738-3p 15.00 20.00 29.00 7.00 7.00 3.00 12.00 31.00 46.00 21.00 31.00 29.00 23.00 22.00 31.00 36.00 18.00 39.00 28.00 44.00 30.00 29.00 23.00 7.00 27.00 17.00 8.00 36.00 12.00 6.00 17.00 19.00 26.00 10.00 16.00 27.00 8.00 12.00 36.00 26.00 20.00 18.00 13.00 18.00 2.00 12.00 3.00 17.00 7.00 25.00 25.00 25.00 25.00 18.00 19.00 11.00 2.00 6.00 2.00 5.00 8.00 14.00 19.00 17.00 22.00 18.00 3.00 9.00 31.00 89.00 0.00 21.00 81.00 26.00 55.00 0.00 36.00 59.00 66.00 0.00
hsa-miR-6792-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-423-5p 122611.00 164143.00 133899.00 34012.00 39504.00 28099.00 55790.00 162150.00 168220.00 110390.00 41614.00 149860.00 162752.00 108110.00 186439.00 197660.00 96780.00 103251.00 146525.00 101777.00 196837.00 101057.00 114959.00 44924.00 82736.00 106234.00 76348.00 105893.00 52286.00 38750.00 43811.00 100197.00 54744.00 32059.00 106625.00 58797.00 23959.00 29352.00 85862.00 90426.00 58521.00 101517.00 46921.00 87466.00 13826.00 35883.00 79249.00 176823.00 75401.00 101423.00 104212.00 120503.00 80477.00 125990.00 100050.00 71292.00 15905.00 27804.00 11810.00 49390.00 109354.00 75072.00 50072.00 86903.00 173186.00 135807.00 50678.00 159048.00 120944.00 129245.00 126617.00 155121.00 165255.00 122423.00 206096.00 162606.00 120329.00 127491.00 132343.00 51566.00
hsa-miR-3922-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-9901 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1272 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4434 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-200a-3p 11.00 19.00 67.00 49.00 122.00 97.00 107.00 31.00 113.00 75.00 215.00 44.00 22.00 218.00 27.00 34.00 23.00 99.00 41.00 184.00 72.00 212.00 234.00 59.00 196.00 54.00 47.00 270.00 267.00 194.00 93.00 153.00 100.00 157.00 42.00 43.00 22.00 56.00 135.00 132.00 84.00 148.00 55.00 79.00 10.00 53.00 49.00 30.00 61.00 56.00 191.00 43.00 229.00 117.00 39.00 62.00 10.00 49.00 17.00 26.00 40.00 71.00 73.00 50.00 28.00 31.00 56.00 10.00 124.00 364.00 42.00 145.00 130.00 137.00 279.00 185.00 54.00 87.00 194.00 0.00
hsa-miR-6870-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-509-5p 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4313 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-944 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3184-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-548e-3p 16.00 32.00 35.00 49.00 92.00 95.00 31.00 20.00 70.00 62.00 164.00 21.00 18.00 219.00 36.00 37.00 36.00 65.00 18.00 170.00 45.00 144.00 160.00 127.00 64.00 29.00 52.00 188.00 198.00 185.00 25.00 48.00 46.00 136.00 27.00 32.00 16.00 85.00 60.00 68.00 71.00 60.00 56.00 53.00 17.00 22.00 29.00 14.00 54.00 39.00 118.00 21.00 85.00 38.00 37.00 32.00 18.00 47.00 15.00 20.00 25.00 30.00 31.00 41.00 31.00 23.00 67.00 24.00 13.00 106.00 16.00 19.00 14.00 21.00 32.00 20.00 0.00 39.00 21.00 1.00
hsa-miR-29b-1-5p 4.00 1.00 8.00 15.00 6.00 10.00 16.00 4.00 5.00 7.00 17.00 9.00 12.00 26.00 12.00 2.00 4.00 15.00 4.00 21.00 23.00 27.00 16.00 2.00 22.00 6.00 21.00 12.00 19.00 18.00 9.00 22.00 11.00 8.00 3.00 4.00 2.00 8.00 7.00 10.00 4.00 11.00 6.00 6.00 2.00 0.00 7.00 1.00 9.00 14.00 20.00 5.00 13.00 9.00 6.00 21.00 4.00 1.00 0.00 0.00 4.00 8.00 7.00 6.00 1.00 4.00 5.00 12.00 10.00 24.00 27.00 12.00 45.00 0.00 66.00 0.00 0.00 30.00 0.00 0.00
hsa-miR-548ac 0.00 6.00 4.00 4.00 2.00 5.00 12.00 5.00 8.00 12.00 6.00 3.00 8.00 5.00 14.00 21.00 6.00 0.00 4.00 8.00 1.00 6.00 11.00 0.00 1.00 0.00 0.00 5.00 6.00 3.00 3.00 3.00 1.00 6.00 7.00 0.00 0.00 3.00 3.00 1.00 0.00 4.00 1.00 5.00 2.00 0.00 0.00 6.00 1.00 0.00 15.00 0.00 5.00 1.00 2.00 2.00 2.00 1.00 0.00 3.00 2.00 5.00 3.00 1.00 9.00 11.00 0.00 0.00 6.00 1.00 0.00 6.00 20.00 0.00 3.00 34.00 0.00 1.00 0.00 0.00
hsa-miR-1265 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1343-3p 14.00 8.00 23.00 13.00 17.00 9.00 14.00 9.00 13.00 18.00 33.00 20.00 7.00 49.00 9.00 9.00 10.00 19.00 14.00 23.00 32.00 39.00 42.00 11.00 35.00 15.00 16.00 34.00 29.00 25.00 20.00 58.00 18.00 5.00 10.00 20.00 3.00 11.00 13.00 14.00 18.00 21.00 14.00 14.00 1.00 11.00 5.00 3.00 22.00 23.00 24.00 5.00 8.00 3.00 10.00 11.00 0.00 8.00 3.00 15.00 5.00 5.00 12.00 12.00 5.00 7.00 2.00 11.00 3.00 5.00 0.00 4.00 64.00 0.00 0.00 63.00 56.00 16.00 0.00 0.00
hsa-miR-515-3p 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-5694 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3166 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 5.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-137-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-10395-3p 0.00 1.00 0.00 0.00 0.00 3.00 2.00 1.00 0.00 1.00 10.00 2.00 1.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 3.00 1.00 0.00 1.00 0.00 0.00 3.00 5.00 2.00 5.00 1.00 3.00 16.00 3.00 0.00 4.00 0.00 4.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 4.00 4.00 1.00 2.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-203b-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-410-3p 4.00 1.00 28.00 12.00 10.00 10.00 5.00 1.00 5.00 6.00 30.00 4.00 3.00 19.00 11.00 4.00 3.00 5.00 1.00 9.00 4.00 15.00 10.00 0.00 16.00 0.00 2.00 20.00 6.00 4.00 10.00 6.00 9.00 28.00 0.00 3.00 6.00 7.00 18.00 12.00 14.00 13.00 7.00 26.00 2.00 3.00 2.00 2.00 2.00 2.00 8.00 4.00 7.00 3.00 1.00 4.00 0.00 6.00 2.00 0.00 3.00 12.00 9.00 9.00 2.00 4.00 1.00 1.00 16.00 47.00 0.00 22.00 0.00 0.00 0.00 0.00 0.00 0.00 33.00 0.00
hsa-miR-4317 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-365b-3p 40 54 90 244 18 66 88 74 96 120 228 68 82 446 218 120 50 248 142 436 120 236 168 8 266 84 68 146 110 92 96 130 132 112 68 42 22 48 68 70 72 78 32 40 22 20 62 82 138 58 202 60 208 116 30 306 8 54 34 26 94 104 52 56 360 174 12 62 104 134 90 298 48 32 318 40 102 0 0 0
hsa-miR-3164 3.00 7.00 6.00 3.00 1.00 3.00 2.00 7.00 14.00 7.00 5.00 5.00 7.00 1.00 11.00 9.00 10.00 1.00 6.00 3.00 2.00 4.00 10.00 0.00 3.00 0.00 1.00 5.00 3.00 0.00 3.00 3.00 3.00 0.00 10.00 7.00 2.00 3.00 6.00 2.00 1.00 2.00 2.00 1.00 0.00 0.00 3.00 14.00 4.00 4.00 3.00 1.00 2.00 2.00 1.00 1.00 1.00 0.00 0.00 1.00 4.00 2.00 7.00 0.00 4.00 9.00 4.00 2.00 10.00 4.00 10.00 19.00 17.00 9.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-216a-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-514a-5p 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3190-5p 0.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 1.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-6795-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-12126 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4467 31.00 23.00 0.00 0.00 0.00 0.00 1.00 8.00 5.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 20.00 12.00 40.00 6.00 1.00 3.00 1.00 0.00 2.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 3.00 2.00 7.00 2.00 0.00 0.00 9.00 5.00 3.00 1.00 2.00 0.00 2.00 0.00 0.00 0.00 2.00 2.00 0.00 0.00 5.00 8.00 2.00 5.00 3.00 0.00 2.00 1.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 12.00 0.00 24.00 0.00 49.00 0.00 0.00 0.00
hsa-miR-6734-5p 65.00 83.00 70.00 20.00 26.00 33.00 34.00 94.00 133.00 115.00 62.00 99.00 124.00 81.00 110.00 133.00 106.00 51.00 108.00 67.00 65.00 59.00 55.00 21.00 41.00 21.00 18.00 50.00 41.00 41.00 26.00 34.00 49.00 22.00 81.00 29.00 16.00 28.00 45.00 31.00 33.00 36.00 17.00 28.00 8.00 5.00 15.00 140.00 45.00 38.00 84.00 39.00 33.00 26.00 25.00 28.00 7.00 12.00 15.00 12.00 60.00 46.00 34.00 39.00 50.00 64.00 9.00 7.00 150.00 46.00 5.00 74.00 35.00 174.00 50.00 135.00 21.00 21.00 34.00 0.00
hsa-miR-155-5p 635.00 751.00 4863.00 5031.00 4207.00 3214.00 4027.00 900.00 4392.00 3189.00 8315.00 2028.00 2348.00 5255.00 1736.00 1616.00 3352.00 5469.00 2476.00 7800.00 4584.00 8794.00 7136.00 1634.00 8381.00 1938.00 2817.00 10037.00 9151.00 5851.00 5585.00 7023.00 3022.00 7507.00 2265.00 2119.00 806.00 888.00 4415.00 5948.00 2573.00 5228.00 3235.00 3728.00 518.00 1487.00 1128.00 1190.00 2906.00 3628.00 6535.00 2750.00 3551.00 1761.00 2373.00 1687.00 589.00 947.00 440.00 1036.00 1910.00 4809.00 5258.00 3730.00 1001.00 2016.00 1375.00 1142.00 5103.00 5564.00 1587.00 6428.00 7011.00 2909.00 9899.00 5531.00 5496.00 4775.00 3901.00 2141.00
hsa-miR-548x-3p 0 1 0 0 0 0 0 0 1 2 4 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1183 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4694-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3144-5p 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-let-7d-3p 1629.00 2176.00 3158.00 992.00 2394.00 1116.00 2215.00 2946.00 3611.00 2770.00 2195.00 2647.00 2688.00 4444.00 4221.00 4260.00 1817.00 4744.00 3772.00 3868.00 3899.00 3797.00 3649.00 1416.00 4364.00 3308.00 2916.00 4562.00 2647.00 2191.00 1348.00 4104.00 2787.00 1216.00 1480.00 1783.00 517.00 533.00 1885.00 2113.00 2066.00 2234.00 1378.00 1446.00 402.00 1108.00 1834.00 3129.00 1457.00 2450.00 1995.00 2046.00 2321.00 2903.00 2629.00 2202.00 457.00 826.00 330.00 1008.00 1917.00 931.00 1116.00 2075.00 8430.00 2217.00 1513.00 2069.00 5547.00 8475.00 6935.00 6852.00 12191.00 1210.00 12218.00 9237.00 8730.00 8420.00 7187.00 3481.00
