miRNA 1A 1B 2A 2B 3A 3B 4A 4B 5A 5B 6A 6B 7A 7B 8A 8B 9A 9B 10A 10B 11A 11B 12A 12B 13A 13B 14A 14B 15A 15B 16A 16B 17A 17B 18A 18B 19A 19B 20A 20B 21A 21B 22A 22B 23A 23B 24A 24B 25A 25B 26A 26B 27A 27B 28A 28B 29A 29B 30A 30B
hsa-miR-3147 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-1247-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5700 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4653-3p 1.00 0.00 0.00 1.00 0.00 2.00 1.00 1.00 2.00 0.00 0.00 2.00 0.00 4.00 0.00 2.00 1.00 4.00 0.00 3.00 0.00 2.00 0.00 0.00 3.00 2.00 1.00 0.00 1.00 0.00 2.00 1.00 0.00 3.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00
hsa-miR-1252-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5090 0.00 3.00 0.00 0.00 0.00 2.00 0.00 2.00 5.00 2.00 0.00 4.00 2.00 9.00 0.00 3.00 2.00 4.00 0.00 1.00 0.00 0.00 4.00 0.00 2.00 8.00 1.00 1.00 2.00 1.00 11.00 4.00 0.00 1.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 3.00 5.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 2.00
hsa-miR-365a-3p 22 218 2 32 42 150 108 186 1008 1372 474 180 92 184 188 282 108 288 124 186 582 470 144 78 118 176 98 62 198 40 136 176 58 66 80 28 20 24 102 18 90 18 82 56 48 82 142 46 280 184 96 114 118 110 130 10 204 14 106 146
hsa-miR-7154-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3179 0 40 0 0 0 4 8 12 8 0 8 12 0 64 0 16 0 36 0 8 40 0 16 0 16 36 8 8 4 0 32 24 0 0 0 8 4 0 0 0 0 0 0 0 0 0 0 4 4 0 0 4 4 0 4 0 0 0 0 0
hsa-miR-6792-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-744-3p 0.00 26.00 0.00 0.00 0.00 27.00 31.00 30.00 43.00 18.00 27.00 17.00 0.00 11.00 5.00 8.00 4.00 19.00 9.00 18.00 15.00 15.00 2.00 1.00 13.00 12.00 20.00 1.00 10.00 2.00 8.00 13.00 0.00 5.00 9.00 4.00 0.00 0.00 3.00 1.00 0.00 0.00 0.00 2.00 0.00 0.00 14.00 0.00 4.00 4.00 3.00 7.00 2.00 2.00 0.00 0.00 3.00 2.00 4.00 8.00
hsa-miR-3152-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-138-2-3p 0.00 1.00 0.00 4.00 0.00 1.00 1.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 2.00 0.00 1.00 3.00 4.00 6.00 2.00 3.00 0.00 0.00 0.00 0.00 2.00 0.00 3.00 0.00 3.00 3.00 1.00 2.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 1.00 1.00 1.00 0.00 0.00 0.00 2.00 1.00 1.00
hsa-miR-8084 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-5707 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-8081 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-502-3p 123.00 1075.00 17.00 112.00 50.00 341.00 262.00 428.00 586.00 487.00 506.00 595.00 136.00 616.00 163.00 927.00 128.00 442.00 223.00 319.00 262.00 330.00 811.00 123.00 1172.00 1014.00 504.00 298.00 160.00 106.00 697.00 544.00 42.00 346.00 190.00 59.00 76.00 46.00 116.00 82.00 66.00 26.00 114.00 66.00 133.00 59.00 273.00 156.00 99.00 219.00 101.00 293.00 57.00 83.00 122.00 36.00 142.00 59.00 130.00 186.00
hsa-miR-3937 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-509-3-5p 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3064-5p 19.00 49.00 3.00 15.00 9.00 52.00 70.00 78.00 124.00 37.00 81.00 22.00 12.00 36.00 58.00 56.00 32.00 51.00 46.00 64.00 67.00 62.00 30.00 21.00 32.00 23.00 24.00 25.00 71.00 26.00 55.00 45.00 10.00 24.00 56.00 21.00 13.00 2.00 43.00 6.00 7.00 4.00 10.00 10.00 9.00 3.00 43.00 33.00 13.00 35.00 35.00 46.00 6.00 10.00 7.00 4.00 22.00 8.00 40.00 26.00
hsa-miR-889-5p 2.00 1.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 4.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 2.00 0.00 0.00 2.00 0.00 1.00 0.00 3.00 0.00
hsa-miR-6745 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-3918 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4755-5p 2.00 14.00 0.00 1.00 4.00 3.00 7.00 3.00 11.00 10.00 2.00 1.00 21.00 2.00 8.00 8.00 0.00 11.00 3.00 10.00 3.00 2.00 3.00 5.00 8.00 5.00 9.00 2.00 10.00 1.00 9.00 4.00 0.00 0.00 2.00 0.00 3.00 4.00 6.00 0.00 0.00 2.00 3.00 5.00 2.00 0.00 4.00 4.00 13.00 6.00 2.00 4.00 6.00 7.00 2.00 2.00 6.00 1.00 3.00 1.00
hsa-miR-500b-5p 26 224 0 58 40 2 38 144 40 14 46 218 24 236 24 252 24 120 32 36 26 46 180 12 296 364 96 150 14 4 232 148 4 22 18 20 10 4 12 6 2 0 22 0 6 0 6 6 6 8 30 10 18 10 4 0 6 14 6 36
hsa-miR-3619-3p 3.00 3.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 4.00 0.00 0.00 0.00 5.00 1.00 0.00 0.00 0.00 2.00 2.00 0.00 2.00 2.00 5.00 1.00 0.00 0.00 0.00 4.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 6.00 0.00 0.00 1.00 0.00 0.00 1.00
hsa-miR-192-3p 5.00 35.00 0.00 2.00 2.00 0.00 7.00 13.00 5.00 9.00 5.00 16.00 0.00 22.00 1.00 38.00 3.00 8.00 12.00 4.00 8.00 4.00 55.00 0.00 47.00 76.00 11.00 4.00 5.00 0.00 20.00 9.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 3.00 0.00 1.00 0.00 0.00 1.00 0.00 3.00 3.00 0.00 0.00 0.00 3.00 1.00
hsa-miR-4296 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-873-5p 17.00 36.00 26.00 21.00 22.00 96.00 19.00 75.00 120.00 63.00 218.00 38.00 7.00 195.00 35.00 21.00 47.00 59.00 87.00 40.00 16.00 28.00 43.00 2.00 31.00 32.00 21.00 20.00 55.00 1.00 30.00 86.00 0.00 31.00 10.00 17.00 6.00 21.00 4.00 50.00 9.00 4.00 30.00 4.00 24.00 2.00 42.00 19.00 0.00 12.00 20.00 30.00 12.00 34.00 48.00 14.00 11.00 3.00 40.00 123.00
hsa-miR-517a-3p 0 0 0 4 0 0 0 2 8 10 6 14 0 2 0 0 0 0 16 34 0 2 0 0 0 0 0 0 4 0 2 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 4 2 0 0 0 0 8
hsa-miR-1233-5p 4 8 0 0 4 0 4 12 20 4 10 2 0 0 10 2 6 8 4 10 8 10 0 8 2 2 2 2 6 2 8 2 2 8 12 6 0 0 4 10 0 0 4 0 2 8 4 12 0 2 14 4 2 2 0 0 18 2 2 2
hsa-miR-1266-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-2114-5p 2.00 11.00 1.00 2.00 0.00 20.00 2.00 8.00 3.00 6.00 6.00 8.00 1.00 5.00 3.00 8.00 9.00 7.00 5.00 5.00 3.00 4.00 3.00 0.00 11.00 5.00 2.00 3.00 0.00 1.00 6.00 5.00 2.00 2.00 0.00 2.00 0.00 1.00 3.00 0.00 0.00 0.00 1.00 0.00 0.00 2.00 0.00 2.00 0.00 1.00 0.00 3.00 0.00 0.00 1.00 0.00 2.00 1.00 2.00 2.00
hsa-miR-222-5p 7.00 20.00 0.00 0.00 1.00 4.00 9.00 10.00 8.00 4.00 11.00 10.00 5.00 0.00 5.00 5.00 4.00 8.00 7.00 3.00 5.00 3.00 1.00 0.00 10.00 3.00 5.00 5.00 4.00 0.00 7.00 8.00 2.00 7.00 5.00 0.00 2.00 3.00 2.00 0.00 8.00 1.00 2.00 2.00 1.00 0.00 11.00 3.00 0.00 5.00 0.00 0.00 2.00 2.00 3.00 0.00 1.00 2.00 4.00 2.00
hsa-miR-542-3p 24.00 167.00 20.00 52.00 10.00 220.00 24.00 50.00 166.00 232.00 322.00 40.00 35.00 9.00 29.00 14.00 41.00 22.00 50.00 38.00 161.00 182.00 77.00 14.00 60.00 41.00 29.00 26.00 48.00 77.00 22.00 17.00 37.00 88.00 244.00 196.00 61.00 112.00 105.00 45.00 289.00 83.00 101.00 56.00 90.00 31.00 81.00 29.00 46.00 86.00 41.00 60.00 27.00 37.00 50.00 35.00 110.00 55.00 36.00 54.00
hsa-miR-4768-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-589-5p 195.00 844.00 22.00 156.00 75.00 645.00 652.00 930.00 1158.00 875.00 782.00 499.00 156.00 615.00 442.00 928.00 331.00 654.00 519.00 622.00 708.00 766.00 505.00 153.00 776.00 741.00 315.00 270.00 418.00 148.00 629.00 651.00 67.00 339.00 274.00 118.00 100.00 46.00 224.00 151.00 74.00 32.00 121.00 73.00 178.00 60.00 500.00 290.00 131.00 253.00 185.00 363.00 111.00 113.00 199.00 34.00 199.00 104.00 234.00 362.00
hsa-miR-12116 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-16-1-3p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-624-3p 0.00 5.00 0.00 1.00 3.00 0.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 1.00 3.00 0.00 1.00 0.00 5.00 4.00 0.00 5.00 8.00 2.00 3.00 0.00 0.00 3.00 0.00 0.00 3.00 5.00 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 3.00 0.00 0.00
hsa-miR-548o-3p 0 26 4 8 0 34 8 4 18 8 18 6 6 4 6 4 0 4 8 4 12 18 26 8 24 20 18 10 2 4 8 8 4 6 4 6 0 0 8 0 12 6 10 0 2 0 12 2 8 6 2 2 4 0 0 0 12 0 10 0
hsa-miR-517b-3p 0 0 0 4 0 0 0 2 8 10 6 14 0 2 0 0 0 0 16 34 0 2 0 0 0 0 0 0 4 0 2 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 4 2 0 0 0 0 8
hsa-miR-181c-3p 142.00 604.00 43.00 111.00 8.00 681.00 386.00 466.00 820.00 367.00 1034.00 231.00 36.00 142.00 191.00 315.00 241.00 278.00 333.00 574.00 502.00 543.00 115.00 88.00 309.00 194.00 397.00 184.00 247.00 151.00 381.00 493.00 78.00 487.00 403.00 149.00 81.00 53.00 232.00 117.00 109.00 32.00 66.00 60.00 41.00 17.00 410.00 206.00 63.00 266.00 151.00 311.00 57.00 55.00 128.00 23.00 232.00 83.00 185.00 237.00
hsa-miR-6766-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4777-3p 0.00 8.00 0.00 1.00 0.00 6.00 3.00 1.00 9.00 2.00 3.00 0.00 0.00 0.00 2.00 1.00 1.00 1.00 1.00 0.00 1.00 2.00 1.00 0.00 5.00 4.00 1.00 3.00 0.00 0.00 1.00 2.00 0.00 4.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 4.00 4.00 0.00 0.00 0.00 3.00 0.00 0.00 0.00 0.00 1.00 1.00 5.00 0.00
hsa-miR-6529-5p 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-181a-2-3p 393.00 1220.00 46.00 152.00 60.00 1101.00 1626.00 2076.00 2068.00 1101.00 1673.00 692.00 190.00 2180.00 650.00 1265.00 845.00 1536.00 1282.00 1796.00 1509.00 2031.00 659.00 301.00 882.00 911.00 605.00 393.00 834.00 413.00 1478.00 2513.00 153.00 863.00 687.00 197.00 140.00 76.00 694.00 349.00 137.00 55.00 255.00 119.00 227.00 46.00 1122.00 503.00 213.00 507.00 387.00 686.00 206.00 244.00 412.00 57.00 375.00 200.00 421.00 911.00
hsa-miR-6814-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-4732-3p 123.00 937.00 4.00 229.00 483.00 25.00 185.00 246.00 208.00 427.00 77.00 472.00 182.00 943.00 91.00 1418.00 80.00 605.00 100.00 138.00 84.00 75.00 685.00 611.00 579.00 748.00 215.00 345.00 161.00 84.00 906.00 407.00 60.00 35.00 40.00 23.00 43.00 28.00 56.00 27.00 19.00 16.00 57.00 66.00 77.00 133.00 54.00 41.00 125.00 92.00 83.00 202.00 105.00 127.00 105.00 44.00 63.00 63.00 44.00 45.00
hsa-miR-335-3p 387.00 1675.00 101.00 369.00 48.00 726.00 1570.00 2390.00 2912.00 1107.00 3078.00 839.00 145.00 485.00 622.00 684.00 1117.00 1367.00 1006.00 1942.00 2890.00 2619.00 281.00 350.00 561.00 417.00 922.00 476.00 1184.00 689.00 1645.00 1922.00 140.00 523.00 1236.00 534.00 202.00 95.00 1351.00 335.00 217.00 95.00 283.00 237.00 379.00 204.00 1694.00 948.00 237.00 729.00 675.00 1044.00 177.00 140.00 322.00 105.00 795.00 223.00 795.00 901.00
hsa-miR-5581-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-875-5p 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-27a-5p 95.00 132.00 13.00 18.00 34.00 151.00 77.00 132.00 83.00 53.00 90.00 107.00 27.00 148.00 141.00 74.00 51.00 49.00 135.00 77.00 78.00 91.00 33.00 12.00 82.00 95.00 57.00 85.00 91.00 39.00 137.00 320.00 21.00 86.00 85.00 49.00 59.00 59.00 43.00 24.00 65.00 35.00 73.00 62.00 47.00 19.00 82.00 82.00 63.00 67.00 82.00 79.00 48.00 51.00 58.00 13.00 70.00 24.00 103.00 109.00
hsa-miR-942-3p 1.00 3.00 1.00 0.00 0.00 0.00 2.00 1.00 1.00 2.00 1.00 1.00 9.00 1.00 6.00 1.00 0.00 1.00 3.00 0.00 2.00 2.00 3.00 0.00 4.00 4.00 1.00 2.00 5.00 2.00 5.00 1.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 3.00
hsa-miR-376a-2-5p 1.00 31.00 21.00 8.00 0.00 6.00 3.00 15.00 3.00 2.00 16.00 5.00 0.00 4.00 4.00 4.00 5.00 7.00 0.00 2.00 10.00 2.00 9.00 8.00 15.00 12.00 2.00 5.00 5.00 0.00 6.00 10.00 0.00 5.00 4.00 2.00 2.00 0.00 2.00 0.00 1.00 0.00 1.00 3.00 1.00 2.00 2.00 0.00 0.00 4.00 5.00 6.00 0.00 5.00 2.00 4.00 6.00 5.00 6.00 1.00
hsa-miR-4269 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
hsa-miR-650 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00
